03/16 09:24:42 AM | Logger is set - training start
03/16 09:24:59 AM | found checkpoint: searchs/mnist_darts_hypernet_example/checkpoint_0_49.ckp
03/16 09:25:01 AM | epoch50
03/16 09:25:01 AM | using seed 50
03/16 09:30:14 AM | Train: [51/100] Step 468/468 Loss 0.484 Acc@(1) 68.8%
03/16 09:30:14 AM | Train: [51/100] Final Prec@1 68.7500%
03/16 09:30:38 AM | Valid: [51/100] Final Prec@1 66.6567%; lambda = 0.1
03/16 09:30:38 AM | Quality*: 0.6665666666984558 


03/16 09:31:02 AM | Valid: [51/100] Final Prec@1 62.0567%; lambda = 1e+00
03/16 09:31:02 AM | Quality: 0.620566666730245 


03/16 09:31:26 AM | Valid: [51/100] Final Prec@1 71.0900%; lambda = 1e+01
03/16 09:31:26 AM | Quality*: 0.7109 


03/16 09:31:50 AM | Valid: [51/100] Final Prec@1 35.4133%; lambda = 1e+02
03/16 09:31:50 AM | Quality: 0.35413333333333336 


03/16 09:31:50 AM | epoch51
03/16 09:31:50 AM | using seed 51
03/16 09:37:01 AM | Train: [52/100] Step 468/468 Loss 0.447 Acc@(1) 64.6%
03/16 09:37:01 AM | Train: [52/100] Final Prec@1 64.5833%
03/16 09:37:25 AM | Valid: [52/100] Final Prec@1 58.9500%; lambda = 0.1
03/16 09:37:25 AM | Quality: 0.5895000000317892 


03/16 09:37:49 AM | Valid: [52/100] Final Prec@1 55.1633%; lambda = 1e+00
03/16 09:37:49 AM | Quality: 0.5516333333651224 


03/16 09:38:14 AM | Valid: [52/100] Final Prec@1 76.6867%; lambda = 1e+01
03/16 09:38:14 AM | Quality*: 0.7668666666984558 


03/16 09:38:38 AM | Valid: [52/100] Final Prec@1 11.0300%; lambda = 1e+02
03/16 09:38:38 AM | Quality: 0.11030000000794729 


03/16 09:38:38 AM | epoch52
03/16 09:38:38 AM | using seed 52
03/16 09:43:49 AM | Train: [53/100] Step 468/468 Loss 0.432 Acc@(1) 70.8%
03/16 09:43:49 AM | Train: [53/100] Final Prec@1 70.8333%
03/16 09:44:13 AM | Valid: [53/100] Final Prec@1 65.4700%; lambda = 0.1
03/16 09:44:13 AM | Quality: 0.6547000000317892 


03/16 09:44:37 AM | Valid: [53/100] Final Prec@1 67.1000%; lambda = 1e+00
03/16 09:44:37 AM | Quality: 0.671 


03/16 09:45:01 AM | Valid: [53/100] Final Prec@1 82.0533%; lambda = 1e+01
03/16 09:45:01 AM | Quality*: 0.8205333333333333 


03/16 09:45:25 AM | Valid: [53/100] Final Prec@1 27.8700%; lambda = 1e+02
03/16 09:45:25 AM | Quality: 0.2787000000079473 


03/16 09:45:25 AM | epoch53
03/16 09:45:25 AM | using seed 53
03/16 09:50:36 AM | Train: [54/100] Step 468/468 Loss 0.416 Acc@(1) 56.2%
03/16 09:50:36 AM | Train: [54/100] Final Prec@1 56.2500%
03/16 09:51:01 AM | Valid: [54/100] Final Prec@1 67.6667%; lambda = 0.1
03/16 09:51:01 AM | Quality: 0.6766666666666666 


03/16 09:51:25 AM | Valid: [54/100] Final Prec@1 69.8933%; lambda = 1e+00
03/16 09:51:25 AM | Quality: 0.6989333333651224 


03/16 09:51:49 AM | Valid: [54/100] Final Prec@1 84.5033%; lambda = 1e+01
03/16 09:51:49 AM | Quality*: 0.8450333333651224 


03/16 09:52:13 AM | Valid: [54/100] Final Prec@1 18.2267%; lambda = 1e+02
03/16 09:52:13 AM | Quality: 0.18226666666666666 


03/16 09:52:13 AM | epoch54
